ModuleName,RepoURL
terraform-azurerm-aks,https://github.com/Azure/terraform-azurerm-aks
terraform-azurerm-compute,https://github.com/Azure/terraform-azurerm-compute
terraform-azurerm-loadbalancer,https://github.com/Azure/terraform-azurerm-loadbalancer
terraform-azurerm-network,https://github.com/Azure/terraform-azurerm-network
terraform-azurerm-network-security-group,https://github.com/Azure/terraform-azurerm-network-security-group
terraform-azurerm-postgresql,https://github.com/Azure/terraform-azurerm-postgresql
terraform-azurerm-subnets,https://github.com/Azure/terraform-azurerm-subnets
terraform-azurerm-vnet,https://github.com/Azure/terraform-azurerm-vnet
terraform-azurerm-virtual-machine,https://github.com/Azure/terraform-azurerm-virtual-machine
terraform,https://github.com/Azure/terraform
terraform-azurerm-hubnetworking,https://github.com/Azure/terraform-azurerm-hubnetworking
terraform-azurerm-openai,https://github.com/Azure/terraform-azurerm-openai
terraform-azure-mdc-defender-plans-azure,https://github.com/Azure/terraform-azure-mdc-defender-plans-azure
terraform-azurerm-database,https://github.com/Azure/terraform-azurerm-database
terraform-azure-container-apps,https://github.com/Azure/terraform-azure-container-apps
avm-gh-app,https://github.com/Azure/avm-gh-app